data_atendimento,design_de_sobrancelhas,fat_design,design_coloracao,fat_design_coloracao,design_coloracao_buco,fat_design_coloracao_buco,buco,fat_buco,brown_lamination,fat_brown_lamination,micropigmentacao,fat_micropigmentacao,extensao_de_cilios,fat_extensao_de_cilios,lash_lifting,fat_lash_lifting,limpeza_de_pele,fat_limpeza_de_pele,microagulhamento,fat_microagulhamento,peeling_quimico,fat_peeling_quimico,massagem_relaxante,fat_massagem_relaxante,pacote_massagem_5,fat_pacote_massagem_5,drenagem_linfatica,fat_drenagem_linfatica,striort,fat_striort,qtde_clientes,faturamento
2019-01-13 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-01-14 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-01-15 00:00:00,0.0,0.0,1,30.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,60.0
2019-01-16 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,150.0
2019-01-17 00:00:00,0.0,0.0,0,0.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0,0.0,2.0,110.0
2019-01-18 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,60.0
2019-01-19 00:00:00,1.0,20.0,1,30.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,110.0
2019-01-20 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-01-21 00:00:00,1.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,20.0
2019-01-22 00:00:00,0.0,0.0,0,0.0,4,120.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,120.0
2019-01-23 00:00:00,0.0,0.0,0,0.0,2,60.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,2.0,120.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,280.0
2019-01-24 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,160.0
2019-01-25 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.5,40.0,0.0,0.0,0.0,0.0,0,0.0,1.0,40.0
2019-01-26 00:00:00,1.0,20.0,0,0.0,0,0.0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,240.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,270.0
2019-01-27 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-01-28 00:00:00,1.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0,0.0,2.0,100.0
2019-01-29 00:00:00,0.0,0.0,0,0.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,180.0
2019-01-30 00:00:00,0.0,0.0,2,60.0,0,0.0,2,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.5,40.0,0.0,0.0,0.0,0.0,0,0.0,5.0,180.0
2019-01-31 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,1.5,120.0,0.0,0.0,0.0,0.0,0,0.0,3.0,180.0
2019-02-01 00:00:00,0.0,0.0,1,30.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,30.0
2019-02-02 00:00:00,0.0,0.0,1,30.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,190.0
2019-02-03 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-04 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,150.0
2019-02-05 00:00:00,0.0,0.0,1,30.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,60.0
2019-02-06 00:00:00,0.0,0.0,0,0.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,180.0
2019-02-07 00:00:00,0.0,0.0,1,30.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,1.0,250.0,0.0,0.0,0,0.0,4.0,440.0
