data_atendimento;design_de_sobrancelhas;design_coloracao;design_coloracao_buco;buco;brown_lamination;micropigmentacao;extensao_de_cilios;lash_lifting;limpeza_de_pele;microagulhamento;peeling_quimico;massagem_relaxante;pacote_massagem_5;drenagem_linfatica;striort;qtde_clientes;faturamento
;30;40;50;10;80;450;100;80;80;250;150;80;250;80;150;0;0
23/12/2018;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;7;430
24/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/12/2018;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;4;640
27/12/2018;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;130
28/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29/12/2018;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;120
30/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/12/2018;2;0;0;1;0;0;0,5;0;0;0;0;0;0;0;0;3;120
01/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2019;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;3;200
04/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2019;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;80
06/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2019;0;0;0;0;0;0;0,5;0;0;0;0;0;0;1;0;2;130
09/01/2019;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;3;170
10/01/2019;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;1;40
11/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/01/2019;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;90
16/01/2019;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;150
17/01/2019;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;130
18/01/2019;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;80
19/01/2019;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;150
20/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/01/2019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30
22/01/2019;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;200
